Id,SR,SR_LargeHerbivore,SR_LargeCarnivore,SR_LargeOmnivore,SR_MediumHerbivore,SR_MediumCarnivore,SR_MediumOmnivore,SR_SmallHerbivore,SR_SmallCarnivore,SR_SmallOmnivore
156,30,5,1,0,6,1,2,6,5,4
157,27,5,1,0,5,1,2,6,5,2
158,27,5,1,0,5,1,2,6,5,2
159,28,5,1,0,5,1,2,6,5,3
160,29,5,1,0,5,1,2,6,5,4
161,30,4,2,0,6,1,2,5,6,4
162,30,4,2,0,6,1,2,5,6,4
163,30,4,1,0,7,1,2,5,6,4
164,31,5,1,0,7,1,2,5,6,4
165,31,5,1,0,7,1,2,5,6,4
166,28,5,1,0,7,1,2,5,4,3
167,31,5,1,0,8,1,1,7,4,4
168,34,6,1,0,8,2,1,7,4,5
169,38,7,1,0,9,2,1,8,4,6
170,35,6,1,1,8,2,1,8,2,6
171,27,4,2,0,6,1,1,6,4,3
172,28,4,2,0,6,1,1,6,4,4
173,27,4,2,0,6,1,1,5,4,4
174,26,4,2,0,5,1,1,6,4,3
175,26,4,2,0,5,1,1,6,4,3
176,27,4,2,0,5,1,1,6,4,4
177,25,4,2,0,5,1,1,5,4,3
178,29,4,2,0,5,1,2,6,5,4
179,28,4,1,0,5,1,2,6,5,4
180,28,4,1,0,5,1,2,6,5,4
181,28,5,1,0,5,1,2,6,5,3
182,29,5,1,0,6,1,2,6,5,3
183,28,5,1,0,5,1,2,6,5,3
184,29,5,1,0,5,1,2,6,5,4
185,29,5,1,0,5,1,2,6,5,4
186,30,5,1,0,5,1,2,6,6,4
187,31,6,1,0,6,1,2,5,6,4
188,32,6,1,0,7,1,2,5,6,4
189,30,4,1,0,7,1,2,5,6,4
190,31,5,1,0,7,1,2,5,6,4
191,31,6,1,0,7,1,2,5,5,4
192,30,4,1,0,8,1,2,6,4,4
193,36,8,1,0,8,2,1,7,4,5
194,37,8,1,0,8,2,1,8,3,6
195,39,9,1,1,7,2,1,8,4,6
196,18,1,1,0,3,1,1,4,4,3
197,20,1,1,0,4,1,1,5,4,3
198,22,1,2,0,5,1,1,5,4,3
199,21,0,2,0,5,1,1,5,4,3
200,27,4,2,0,5,1,1,6,4,4
201,29,4,2,0,5,1,2,6,5,4
202,29,4,2,0,5,1,2,6,5,4
203,30,5,2,0,5,1,2,6,5,4
204,29,5,2,0,5,1,2,6,5,3
205,29,5,2,0,5,1,2,6,5,3
206,27,4,1,0,5,1,2,6,5,3
207,28,5,1,0,5,1,2,6,5,3
208,27,5,1,0,5,1,2,6,5,2
209,27,5,1,0,5,1,2,6,5,2
210,29,5,1,0,5,1,2,6,5,4
211,30,5,1,0,5,1,2,6,6,4
212,29,5,1,0,5,1,2,6,6,3
213,31,6,1,0,5,1,2,6,6,4
214,32,6,1,0,6,1,2,6,6,4
215,30,4,1,0,7,1,2,5,6,4
216,30,4,1,0,7,1,2,5,6,4
217,31,5,1,0,7,1,2,5,6,4
218,33,6,1,0,8,1,2,6,5,4
219,38,10,1,0,8,1,2,7,5,4
220,35,8,1,0,7,2,1,7,4,5
221,38,9,2,1,6,2,1,7,5,5
222,43,9,3,2,8,2,1,8,5,5
223,22,2,2,0,5,1,1,4,4,3
224,22,1,2,0,5,1,1,5,4,3
225,24,1,2,0,5,1,1,6,5,3
226,24,1,2,0,5,1,1,6,5,3
227,24,1,2,0,5,1,1,6,5,3
228,27,4,2,0,4,1,2,6,5,3
229,28,5,2,0,4,1,2,6,5,3
230,28,5,2,0,4,1,2,6,5,3
231,29,5,3,0,4,1,2,6,5,3
232,27,5,2,0,4,1,2,5,5,3
233,28,5,2,0,5,1,2,5,5,3
234,29,5,2,0,5,1,2,6,5,3
235,27,5,1,0,4,1,2,6,5,3
236,26,5,1,0,4,1,2,6,5,2
237,29,5,1,0,5,1,2,6,5,4
238,35,10,1,0,5,1,2,6,6,4
239,29,5,1,0,5,1,2,6,6,3
240,31,6,1,0,5,1,2,6,6,4
241,32,6,1,0,6,1,2,6,6,4
242,29,4,1,0,6,1,2,5,6,4
243,29,4,1,0,6,1,2,5,6,4
244,30,5,1,0,6,1,2,5,6,4
245,32,5,1,0,6,1,2,6,6,5
246,32,5,1,0,6,1,2,7,6,4
247,33,7,1,0,6,2,2,6,4,5
248,34,8,2,1,5,2,2,5,4,5
249,37,9,2,1,6,2,2,6,4,5
250,44,10,2,2,9,2,2,6,4,7
251,46,12,3,2,8,2,2,6,4,7
252,21,2,2,0,5,1,2,4,3,2
253,19,2,2,0,3,1,0,4,4,3
254,23,2,3,0,5,1,1,4,4,3
255,25,2,3,0,5,1,1,5,5,3
256,24,1,3,0,5,1,1,5,5,3
257,25,2,3,0,5,1,1,5,5,3
258,24,1,3,0,5,1,1,5,5,3
259,28,5,3,0,4,1,2,5,5,3
260,27,5,3,0,4,1,2,4,5,3
261,29,6,4,0,4,1,2,4,5,3
262,28,6,3,0,4,1,2,4,5,3
263,28,6,3,0,4,1,2,4,5,3
264,26,5,2,0,4,1,2,4,5,3
265,26,4,2,0,4,1,2,5,5,3
266,26,4,2,0,4,1,2,5,5,3
267,26,5,1,0,4,1,2,5,5,3
268,28,5,1,0,4,1,2,6,6,3
269,35,10,1,0,5,1,2,6,6,4
270,34,9,1,0,5,1,2,6,6,4
271,34,9,1,0,5,1,2,6,6,4
272,35,9,1,0,5,1,2,7,6,4
273,30,4,1,0,5,1,2,7,6,4
274,30,4,1,0,5,1,2,7,6,4
275,36,10,1,0,5,1,2,7,6,4
276,35,10,1,0,5,1,2,6,6,4
277,30,5,1,0,5,1,2,6,6,4
278,39,10,1,0,6,1,3,7,6,5
279,32,8,1,0,6,1,2,6,3,5
280,34,8,2,1,5,1,2,6,3,6
281,41,11,1,2,6,2,2,6,4,7
282,45,13,3,2,7,2,2,5,4,7
283,17,1,2,0,3,1,0,4,4,2
284,24,3,3,0,5,1,1,4,4,3
285,25,3,3,0,5,1,1,5,4,3
286,25,2,3,0,5,1,1,5,5,3
287,25,2,3,0,5,1,1,5,5,3
288,26,2,3,0,5,2,1,5,5,3
289,25,1,3,0,5,2,1,5,5,3
290,28,5,4,0,4,2,2,3,5,3
291,30,6,5,0,4,2,2,3,5,3
292,30,6,5,0,4,2,2,3,5,3
293,30,6,5,0,4,2,2,3,5,3
294,29,6,4,0,4,2,2,3,5,3
295,30,7,4,0,4,2,2,3,5,3
296,26,5,2,0,4,2,2,3,5,3
297,26,5,2,0,4,1,2,3,6,3
298,27,5,2,0,4,1,2,4,6,3
299,28,5,2,0,4,1,2,5,6,3
300,34,10,1,0,5,1,2,6,6,3
301,34,10,1,0,5,1,2,6,6,3
302,35,9,1,0,5,1,2,7,6,4
303,35,9,1,0,5,1,2,7,6,4
304,35,9,1,0,5,1,2,7,6,4
305,35,9,1,0,5,1,2,7,6,4
306,35,9,1,0,5,1,2,7,6,4
307,35,10,1,0,5,1,2,6,6,4
308,34,10,1,0,5,1,3,5,6,3
309,37,10,1,0,6,1,3,5,6,5
310,39,10,1,0,6,1,3,7,6,5
311,33,8,1,0,6,1,2,6,3,6
312,36,8,2,2,5,2,2,5,3,7
313,38,8,3,2,5,2,2,5,4,7
314,51,13,3,2,7,3,3,7,5,8
315,21,1,3,0,5,1,2,4,3,2
316,22,2,3,0,5,1,1,4,4,2
317,24,2,3,0,5,1,1,4,5,3
318,25,2,3,0,5,1,1,5,5,3
319,25,2,3,0,5,1,1,5,5,3
320,24,2,3,0,5,1,1,5,4,3
321,25,2,3,0,5,2,1,4,5,3
322,27,3,4,0,5,2,2,3,5,3
323,30,6,5,0,4,2,2,3,5,3
324,31,6,5,0,4,2,2,3,6,3
325,29,4,5,0,4,2,2,3,6,3
326,30,5,5,0,4,2,2,3,6,3
327,31,7,4,0,4,2,2,3,6,3
328,31,7,4,0,4,2,2,3,6,3
329,30,6,4,0,4,2,2,3,6,3
330,28,5,3,0,4,2,2,3,6,3
331,29,5,3,0,4,2,2,4,6,3
332,29,5,3,0,4,2,2,4,6,3
333,33,10,3,0,4,1,2,4,6,3
334,35,10,2,0,5,1,2,5,6,4
335,35,10,1,0,5,1,2,7,6,3
336,36,9,1,0,6,1,2,7,6,4
337,36,9,1,0,6,1,2,7,6,4
338,38,9,1,0,7,1,3,7,6,4
339,36,9,1,0,5,1,3,7,6,4
340,36,10,1,0,5,1,3,6,6,4
341,35,10,1,0,6,1,3,5,6,3
342,35,10,1,0,6,1,3,5,5,4
343,36,10,1,0,6,1,3,5,5,5
344,37,10,1,0,6,1,3,5,5,6
345,39,9,2,2,6,2,2,5,4,7
346,44,9,3,2,7,2,2,6,5,8
347,21,2,3,0,5,1,1,4,3,2
348,23,2,3,0,5,1,1,4,5,2
349,25,2,3,0,5,1,1,5,5,3
350,25,2,3,0,5,1,1,5,5,3
351,23,2,3,0,5,1,1,4,4,3
352,23,2,3,0,5,2,1,3,4,3
353,27,4,3,0,5,2,1,3,6,3
354,28,4,4,0,4,2,2,3,6,3
355,31,6,5,0,4,2,2,3,6,3
356,31,6,5,0,4,2,2,3,6,3
357,29,4,5,0,4,2,2,3,6,3
358,30,5,5,0,4,2,2,3,6,3
359,30,5,5,0,4,2,2,3,6,3
360,31,7,4,0,4,2,2,3,6,3
361,31,7,4,0,4,2,2,3,6,3
362,30,6,4,0,4,2,2,3,6,3
363,30,6,3,0,4,2,2,4,6,3
364,29,5,3,0,4,2,2,4,6,3
365,29,5,3,0,4,2,2,4,6,3
366,37,10,3,0,7,2,2,4,6,3
367,39,10,4,0,7,1,2,5,6,4
368,35,9,2,0,7,1,2,5,6,3
369,39,11,2,0,8,1,3,5,6,3
370,38,9,2,0,7,1,3,6,5,5
371,36,9,1,0,7,1,3,6,5,4
372,37,10,1,0,7,1,3,6,5,4
373,36,10,1,0,6,1,3,5,5,5
374,37,10,1,0,6,2,3,5,5,5
375,37,10,1,0,6,2,3,5,5,5
376,37,11,1,0,6,2,3,4,5,5
377,42,13,3,2,7,3,2,4,3,5
378,53,14,3,2,9,3,4,5,5,8
379,22,1,4,0,5,1,2,4,3,2
380,23,2,4,0,5,1,1,4,4,2
381,26,2,3,0,5,1,1,6,5,3
382,26,2,3,0,5,1,1,6,5,3
383,25,2,3,0,5,1,1,5,5,3
384,25,3,3,0,5,1,1,3,6,3
385,26,4,3,0,5,1,1,3,6,3
386,28,4,3,0,5,2,2,3,6,3
387,28,4,4,0,4,2,2,3,6,3
388,31,6,5,0,4,2,2,3,6,3
389,31,6,5,0,4,2,2,3,6,3
390,30,5,5,0,4,2,2,3,6,3
391,30,5,5,0,4,2,2,3,6,3
392,30,5,5,0,4,2,2,3,6,3
393,31,7,4,0,4,2,2,3,6,3
394,31,7,4,0,4,2,2,3,6,3
395,31,7,4,0,4,2,2,3,6,3
396,31,6,4,0,4,2,2,4,6,3
397,30,6,3,0,4,2,2,4,6,3
398,32,5,3,0,7,2,2,4,6,3
399,40,11,3,1,7,2,2,5,6,3
400,42,11,4,1,7,2,2,5,6,4
401,40,10,4,0,6,2,2,6,5,5
402,40,11,3,0,6,1,3,6,5,5
403,43,12,2,0,8,1,3,6,5,6
404,39,10,1,0,8,1,3,6,5,5
405,39,11,1,0,7,1,3,6,5,5
406,39,11,1,0,6,1,3,7,5,5
407,37,11,1,0,6,1,3,5,5,5
408,37,10,1,0,6,2,3,5,5,5
409,40,9,2,2,8,2,3,4,4,6
410,48,15,3,2,6,3,4,4,5,6
411,54,17,4,2,7,3,4,5,5,7
412,24,3,4,0,5,1,2,4,3,2
413,26,3,4,0,5,1,2,5,4,2
414,27,2,4,0,5,1,1,6,5,3
415,25,2,3,0,5,1,1,5,5,3
416,27,3,3,0,5,1,1,5,6,3
417,25,3,3,0,5,1,1,3,6,3
418,26,4,3,0,5,1,1,3,6,3
419,28,4,3,0,5,2,2,3,6,3
420,30,5,5,0,4,2,2,3,6,3
421,32,7,5,0,4,2,2,3,6,3
422,32,7,5,0,4,2,2,3,6,3
423,30,5,5,0,4,2,2,3,6,3
424,30,5,5,0,4,2,2,3,6,3
425,30,5,5,0,4,2,2,3,6,3
426,30,5,5,0,4,2,2,3,6,3
427,32,7,4,0,4,2,2,4,6,3
428,32,7,4,0,4,2,2,4,6,3
429,30,4,4,0,4,2,2,5,6,3
430,30,4,4,0,4,2,2,5,6,3
431,33,3,3,1,7,2,2,6,6,3
432,35,4,3,2,7,2,2,6,6,3
433,44,12,3,2,7,2,2,6,6,4
434,45,12,4,2,7,3,2,6,5,4
435,48,12,4,1,8,3,3,6,5,6
436,44,11,3,0,8,2,3,6,5,6
437,40,10,2,0,8,1,3,6,5,5
438,41,11,2,0,8,1,3,6,5,5
439,39,11,1,0,7,1,3,6,5,5
440,36,10,1,0,6,1,3,5,5,5
441,42,11,1,0,8,2,3,6,5,6
442,49,13,3,2,9,2,3,5,6,6
443,50,15,3,2,10,2,4,4,4,6
444,55,19,4,2,7,3,4,4,5,7
445,59,20,5,2,7,3,4,6,5,7
446,26,4,4,1,5,1,2,4,3,2
447,30,4,4,1,5,1,2,6,4,3
448,30,3,4,1,5,1,2,6,5,3
449,30,3,4,1,5,1,2,5,6,3
450,28,3,3,0,5,1,2,5,6,3
451,27,4,3,0,5,1,2,3,6,3
452,27,4,3,0,5,1,2,3,6,3
453,27,4,3,0,5,1,2,3,6,3
454,29,5,5,0,4,1,2,3,6,3
455,31,6,5,0,4,2,2,3,6,3
456,30,5,5,0,4,2,2,3,6,3
457,30,5,5,0,4,2,2,3,6,3
458,30,5,5,0,4,2,2,3,6,3
459,30,5,5,0,4,2,2,3,6,3
460,30,5,5,0,4,2,2,3,6,3
461,30,5,4,0,4,2,2,4,6,3
462,30,5,4,0,4,2,2,4,6,3
463,31,5,4,0,4,2,2,5,6,3
464,32,5,4,0,4,2,2,6,6,3
465,36,5,4,1,7,2,2,6,6,3
466,36,4,3,2,7,2,2,6,6,4
467,46,13,3,2,7,2,2,6,7,4
468,48,13,3,2,8,3,2,6,7,4
469,48,13,3,2,7,3,3,6,6,5
470,45,12,3,1,7,3,3,6,5,5
471,44,11,3,1,7,2,3,6,5,6
472,45,11,3,1,8,2,3,6,5,6
473,43,11,3,1,8,1,3,6,5,5
474,43,11,2,2,8,1,3,6,5,5
475,48,11,3,2,9,2,3,6,6,6
476,48,14,3,2,9,2,3,4,5,6
477,53,17,3,2,9,2,4,4,5,7
478,58,20,5,2,7,3,4,5,5,7
479,59,20,5,2,7,3,4,5,5,8
480,59,20,5,2,7,3,4,6,4,8
481,27,4,4,1,5,1,2,5,3,2
482,32,4,4,1,5,1,2,7,5,3
483,32,4,4,1,5,1,2,6,6,3
484,31,3,4,1,5,1,2,6,6,3
485,28,3,3,0,5,1,2,5,6,3
486,27,4,3,0,5,1,2,3,6,3
487,27,4,3,0,5,1,2,3,6,3
488,27,4,3,0,5,1,2,3,6,3
489,29,5,5,0,4,1,2,3,6,3
490,29,5,5,0,4,1,2,3,6,3
491,29,5,5,0,4,1,2,3,6,3
492,30,5,5,0,4,2,2,3,6,3
493,30,5,5,0,4,2,2,3,6,3
494,30,5,5,0,4,2,2,3,6,3
495,30,5,5,0,4,2,2,3,6,3
496,31,5,5,0,4,2,2,4,6,3
497,31,5,5,0,4,2,2,4,6,3
498,31,5,4,0,4,2,2,5,6,3
499,33,6,4,0,4,2,2,6,6,3
500,36,6,4,1,6,2,2,6,6,3
501,39,6,4,2,7,2,2,6,6,4
502,38,5,3,2,7,2,2,6,7,4
503,46,13,3,2,6,3,2,6,7,4
504,48,13,3,2,7,3,3,6,6,5
505,48,13,3,2,7,3,3,6,6,5
506,45,12,3,2,6,3,3,6,5,5
507,43,11,3,2,6,2,3,6,5,5
508,46,11,3,2,8,2,3,6,5,6
509,47,11,3,2,8,2,3,7,5,6
510,51,12,3,2,9,2,3,7,6,7
511,52,13,3,2,9,2,3,6,6,8
512,57,17,3,2,9,3,4,5,6,8
513,59,20,5,2,7,3,4,5,5,8
514,58,20,5,2,7,3,4,5,5,7
515,57,18,5,2,7,3,4,6,4,8
516,48,10,5,2,6,3,4,6,4,8
517,40,6,5,2,5,3,3,7,3,6
518,41,9,3,2,5,3,3,7,3,6
519,24,2,4,1,5,1,2,4,3,2
520,28,4,4,1,5,1,2,6,3,2
521,31,4,4,1,5,1,2,6,5,3
522,32,4,4,1,5,1,2,6,6,3
523,29,3,3,1,5,1,2,5,6,3
524,28,3,3,0,5,1,2,5,6,3
525,29,4,3,0,5,2,2,4,6,3
526,28,4,3,0,5,2,2,3,6,3
527,28,4,3,0,5,2,2,3,6,3
528,30,5,5,0,4,2,2,3,6,3
529,30,5,5,0,4,2,2,3,6,3
530,30,5,5,0,4,2,2,3,6,3
531,30,5,5,0,4,2,2,3,6,3
532,30,5,5,0,4,2,2,3,6,3
533,30,5,5,0,4,2,2,3,6,3
534,30,5,5,0,4,2,2,3,6,3
535,30,5,5,0,4,2,2,3,6,3
536,30,5,5,0,4,2,2,3,6,3
537,32,5,5,0,4,2,2,5,6,3
538,32,6,4,0,4,2,2,5,6,3
539,33,6,4,1,4,2,2,5,6,3
540,37,6,4,2,5,2,2,6,6,4
541,38,6,4,2,5,2,2,6,7,4
542,38,5,3,2,6,3,2,6,7,4
543,45,12,3,2,6,3,2,6,7,4
544,46,12,3,2,6,3,3,7,6,4
545,46,12,3,2,6,3,3,7,6,4
546,47,12,3,2,7,3,3,8,5,4
547,47,12,3,2,8,3,3,7,5,4
548,49,12,3,2,8,3,3,7,6,5
549,50,13,3,2,8,3,3,7,6,5
550,53,13,3,2,8,3,3,7,6,8
551,59,19,4,2,7,3,4,7,5,8
552,60,20,5,2,8,3,4,5,5,8
553,58,20,5,2,6,3,4,6,5,7
554,47,10,5,2,6,3,4,6,4,7
555,48,10,5,2,6,3,4,6,4,8
556,43,8,5,2,5,3,4,7,3,6
557,39,7,3,2,5,3,3,7,3,6
558,41,9,3,2,5,3,3,7,3,6
559,43,11,2,2,6,3,3,7,3,6
560,26,4,4,1,5,2,2,3,3,2
561,29,4,4,1,5,2,2,5,3,3
562,33,5,4,1,5,2,2,5,6,3
563,32,4,4,1,5,2,2,5,6,3
564,31,4,3,1,5,2,2,5,6,3
565,32,5,3,1,5,2,2,5,6,3
566,29,4,3,0,5,2,2,4,6,3
567,28,4,3,0,5,2,2,3,6,3
568,29,5,3,0,5,2,2,3,6,3
569,29,5,4,0,4,2,2,3,6,3
570,30,5,5,0,4,2,2,3,6,3
571,30,5,5,0,4,2,2,3,6,3
572,30,5,5,0,4,2,2,3,6,3
573,30,5,5,0,4,2,2,3,6,3
574,30,5,5,0,4,2,2,3,6,3
575,30,5,5,0,4,2,2,3,6,3
576,30,5,5,0,4,2,2,3,6,3
577,30,5,5,0,4,2,2,3,6,3
578,31,5,5,0,4,2,2,4,6,3
579,31,5,5,0,4,2,2,4,6,3
580,31,5,4,0,4,2,2,5,6,3
581,35,6,4,2,4,2,2,5,6,4
582,37,6,4,2,5,2,2,5,7,4
583,39,6,4,2,6,2,2,6,7,4
584,40,6,4,2,6,3,2,6,7,4
585,48,11,4,2,6,3,3,8,7,4
586,48,12,4,2,6,3,3,8,6,4
587,46,12,3,2,6,3,3,8,5,4
588,46,12,3,2,7,3,3,8,4,4
589,50,13,3,2,8,3,3,8,5,5
590,52,14,3,2,8,3,3,7,5,7
591,49,13,3,2,6,3,3,7,5,7
592,59,18,4,2,7,3,4,8,5,8
593,60,20,5,2,7,3,4,6,5,8
594,59,20,5,2,7,3,4,6,5,7
595,48,10,5,2,6,3,4,6,5,7
596,48,11,5,2,6,3,4,6,4,7
597,46,9,5,2,6,3,4,7,4,6
598,42,9,3,2,6,3,3,7,3,6
599,39,7,3,2,5,3,3,7,3,6
600,35,7,2,2,5,3,3,6,3,4
601,27,4,4,1,5,2,2,4,3,2
602,31,4,4,1,5,2,2,5,5,3
603,33,5,4,1,5,2,2,5,6,3
604,32,4,4,1,5,2,2,5,6,3
605,31,4,3,1,5,2,2,5,6,3
606,32,5,3,1,5,2,2,5,6,3
607,30,4,3,1,5,2,2,4,6,3
608,29,5,3,0,5,2,2,3,6,3
609,29,5,3,0,5,2,2,3,6,3
610,29,5,3,0,5,2,2,3,6,3
611,30,5,5,0,4,2,2,3,6,3
612,30,5,5,0,4,2,2,3,6,3
613,30,5,5,0,4,2,2,3,6,3
614,30,5,5,0,4,2,2,3,6,3
615,30,5,5,0,4,2,2,3,6,3
616,30,5,5,0,4,2,2,3,6,3
617,31,6,5,0,4,2,2,3,6,3
618,31,5,5,0,4,2,2,4,6,3
619,31,5,5,0,4,2,2,4,6,3
620,31,5,5,0,4,2,2,4,6,3
621,31,5,5,0,4,2,2,4,6,3
622,32,5,5,0,4,2,2,5,6,3
623,36,6,4,2,5,2,2,5,6,4
624,38,6,4,2,6,2,2,5,7,4
625,41,7,4,2,6,3,2,6,7,4
626,41,5,4,2,6,3,3,7,7,4
